City,State,Land area (sq mi),Land area (km2),Water area (sq mi),Water area (km2),Total area (sq mi),Total area (km2),Population (2020),Density 
Sitka,Alaska,"2,870.10","7,434","1,945.10","5,038","4,815.10","12,471","8,458",0.678213455
Juneau,Alaska,"2,704.00","7,003",550.7,"1,426","3,254.70","8,430","32,255",3.826215896
Wrangell,Alaska,"2,556.00","6,620",920.6,"2,384","3,476.60","9,004","2,127",0.236228343
Anchorage,Alaska,"1,706.80","4,421",239.9,621,"1,946.70","5,042","291,247",57.76418088
Tribune [note 1]*,Kansas,778.2,"2,016",0,0,778.2,"2,016","1,182",0.586309524
Jacksonville,Florida,747.3,"1,935",127.2,329,874.5,"2,265","949,611",419.2543046
Anaconda,Montana,736.7,"1,908",4.7,12,741.4,"1,920","9,421",4.906770833
Butte *,Montana,715.8,"1,854",0.6,1.6,716.3,"1,855","34,494",18.59514825
Houston,Texas,640.4,"1,659",31.2,81,671.7,"1,740","2,304,580",1324.471264
Oklahoma City,Oklahoma,606.2,"1,570",14.3,37,620.5,"1,607","681,054",423.8046049
Phoenix,Arizona,518,"1,342",1.1,2.8,519.1,"1,344","1,608,139",1196.531994
San Antonio,Texas,498.8,"1,292",5.8,15,504.6,"1,307","1,434,625",1097.647284
Nashville *,Tennessee,475.8,"1,232",21.7,56,497.5,"1,289","689,447",534.8696664
Los Angeles,California,469.5,"1,216",32.1,83,501.6,"1,299","3,898,747",3001.344881
Statenville [note 2],Georgia,420.4,"1,089",0.3,0.78,420.7,"1,090","3,697",3.391743119
Suffolk[note 3]**,Virginia,399.2,"1,034",29.7,77,428.9,"1,111","94,324",84.90009001
Buckeye,Arizona,393,"1,018",0.2,0.52,393.2,"1,018","91,502",89.88408644
Indianapolis *,Indiana,361.6,937,6.3,16,367.9,953,"887,642",931.4186779
Fort Worth,Texas,347.3,900,8.3,21,355.5,921,"918,915",997.7361564
Dallas,Texas,339.6,880,43.9,114,383.4,993,"1,304,379",1313.574018
Chesapeake[note 4]**,Virginia,338.5,877,12.5,32,350.9,909,"249,422",274.3916392
San Diego,California,325.9,844,46.5,120,372.4,965,"1,386,932",1437.235233
Louisville *,Kentucky,324.9,841,16.5,43,341.4,884,"633,045",716.1142534
Austin,Texas,319.9,829,6.6,17,326.5,846,"961,855",1136.944444
Kansas City,Missouri,314.7,815,4.1,11,318.8,826,"508,090",615.1210654
Charlotte,North Carolina,308.3,798,2,5.2,310.3,804,"874,579",1087.784826
Augusta *,Georgia,302.3,783,4.2,11,306.5,794,"202,081",254.5100756
New York City,New York,300.5,778,172,445,472.4,"1,224","8,804,190",7192.965686
Memphis,Tennessee,297,769,7.6,20,304.6,789,"633,104",802.4131812
Lexington,Kentucky,283.6,735,1.9,4.9,285.5,739,"322,570",436.4952639
El Paso,Texas,258.4,669,0.8,2.1,259.2,671,"678,815",1011.646796
Macon,Georgia,249.4,646,5.5,14,254.9,660,"157,346",238.4030303
Cusseta,Georgia,248.7,644,2.4,6.2,251.2,651,"9,565",14.69278034
Virginia Beach[note 5]**,Virginia,244.7,634,252.8,655,497.5,"1,289","459,470",356.454616
Tucson,Arizona,241,624,0.3,0.78,241.3,625,"542,629",868.2064
Chicago,Illinois,227.7,590,6.8,18,234.5,607,"2,746,388",4524.527183
Columbus,Ohio,220,570,5.9,15,225.9,585,"905,748",1548.287179
Huntsville,Alabama,218.1,565,1.4,3.6,219.6,569,"215,006",377.8664323
Columbus,Georgia,216.5,561,4.5,12,221,572,"206,922",361.7517483
Valdez,Alaska,212.7,551,59.2,153,271.9,704,"3,985",5.660511364
Preston [note 6],Georgia,209.7,543,0.9,2.3,210.6,545,"2,348",4.308256881
Boulder City,Nevada,208.3,539,0,0,208.3,539,"14,885",27.61595547
California City,California,203.6,527,0.1,0.26,203.7,528,"14,973",28.35795455
Tulsa,Oklahoma,197.5,512,4.1,11,201.6,522,"413,066",791.3141762
Colorado Springs,Colorado,195.4,506,0.4,1,195.8,507,"478,961",944.6962525
Goodyear,Arizona,191.3,495,0,0,191.3,495,"95,294",192.5131313
Albuquerque,New Mexico,187.3,485,1.7,4.4,189,490,"564,559",1152.161224
Scottsdale,Arizona,184,477,0.4,1,184.4,478,"241,361",504.9393305
Hibbing,Minnesota,182,471,4.4,11,186.5,483,"16,214",33.56935818
Norman,Oklahoma,178.8,463,10.5,27,189.3,490,"128,026",261.277551
San Jose,California,178.3,462,3.1,8,181.4,470,"1,013,240",2155.829787
Peoria,Arizona,176.1,456,3.2,8.3,179.2,464,"190,985",411.6056034
New Orleans,Louisiana,169.5,439,180.4,467,349.8,906,"383,997",423.8377483
Corpus Christi,Texas,162.2,420,328.1,850,490.3,"1,270","317,863",250.2858268
Wichita,Kansas,162,420,4.5,12,166.5,431,"397,532",922.3480278
Aurora,Colorado,160.1,415,0.6,1.6,160.7,416,"386,261",928.5120192
Montgomery,Alabama,159.9,414,2.4,6.2,162.3,420,"200,603",477.6261905
Denver,Colorado,153.1,397,1.7,4.4,154.7,401,"715,522",1784.34414
Sierra Vista,Arizona,152.3,394,0.3,0.78,152.5,395,"45,308",114.7037975
Georgetown,Georgia,151.2,392,9.3,24,160.6,416,"2,235",5.372596154
Bakersfield,California,149.8,388,1.5,3.9,151.2,392,"403,455",1029.221939
Fayetteville,North Carolina,148.3,384,1.8,4.7,150.1,389,"208,501",535.9922879
Raleigh,North Carolina,147.1,381,1.1,2.8,148.2,384,"467,665",1217.877604
Birmingham,Alabama,147,381,2.5,6.5,149.6,387,"200,733",518.6899225
Carson City[note 7]**,Nevada,144.5,374,12.6,33,157.1,407,"58,639",144.0761671
Chattanooga,Tennessee,142.4,369,7.7,20,150.1,389,"181,099",465.5501285
Las Vegas,Nevada,141.8,367,0.1,0.26,141.9,368,"641,903",1744.30163
Omaha,Nebraska,141.6,367,3.6,9.3,145.2,376,"486,051",1292.68883
Bunnell,Florida,139.8,362,0.1,0.26,139.8,362,"3,276",9.049723757
Mobile,Alabama,139.5,361,40.6,105,180.1,466,"187,041",401.3755365
Detroit,Michigan,138.7,359,4.2,11,142.9,370,"639,111",1727.327027
Mesa,Arizona,138.7,359,0.7,1.8,139.4,361,"504,258",1396.836565
Columbia,South Carolina,136.8,354,2.9,7.5,139.6,362,"136,632",377.4364641
Atlanta,Georgia,135.3,350,1,2.6,136.3,353,"498,715",1412.790368
Lubbock,Texas,134.6,349,1.2,3.1,135.8,352,"257,141",730.5142045
Philadelphia,Pennsylvania,134.4,348,8.3,21,142.7,370,"1,603,797",4334.586486
Portland,Oregon,133.4,346,11.5,30,145,376,"652,503",1735.380319
Winston-Salem,North Carolina,132.7,344,1.2,3.1,133.9,347,"249,545",719.1498559
